headbreadth,headcircumference,headlength,tragiontopofhead
149,582,207,129
152,578,207,121
159,587,199,133
157,583,198,130
157,564,196,112
155,601,210,125
153,582,205,132
153,574,204,135
147,547,183,127
156,570,195,128
149,582,197,124
157,586,202,137
152,575,198,127
151,566,200,117
154,598,205,140
151,574,200,121
154,595,211,130
156,603,212,136
154,565,197,130
147,550,194,123
170,584,193,140
150,562,200,124
158,593,204,137
158,599,211,132
158,584,200,120
150,578,208,134
156,578,197,134
155,579,200,128
152,590,210,131
159,597,199,138
152,562,194,133
160,575,200,125
144,574,204,138
158,592,205,126
153,588,202,123
154,557,194,120
156,593,205,135
152,574,202,140
158,578,201,120
156,578,202,135
153,568,193,139
153,598,211,137
154,580,199,125
154,582,204,132
159,597,210,144
146,584,204,140
153,577,197,125
165,558,178,130
152,569,192,130
154,577,202,131
154,597,216,146
155,583,202,131
149,593,206,132
155,565,194,120
156,582,198,140
153,573,204,133
157,591,205,128
158,590,206,140
150,555,192,125
154,573,198,129
156,584,201,135
152,579,203,137
160,583,196,135
160,586,199,126
157,586,202,135
157,579,202,140
154,548,190,129
157,577,202,125
154,568,197,130
158,593,203,141
154,581,202,125
152,563,197,129
151,557,188,132
150,562,196,123
154,589,202,138
153,562,183,129
158,586,202,127
160,590,206,131
141,545,189,114
154,592,202,125
153,582,202,131
146,548,187,126
152,569,196,140
159,580,204,131
153,548,188,118
158,568,194,124
158,546,187,132
147,550,193,128
152,582,205,140
167,596,202,146
153,578,203,139
157,588,206,126
147,596,211,135
150,587,198,140
163,606,204,135
150,553,190,126
149,558,200,133
148,555,188,137
146,537,183,117
157,597,198,133
152,568,200,129
158,565,190,131
161,573,189,131
161,577,192,134
148,571,202,130
156,613,220,139
147,577,199,133
151,568,197,124
157,574,193,145
158,582,194,139
145,568,202,139
154,588,206,132
155,567,194,128
146,566,198,127
160,598,208,134
151,573,203,130
163,570,190,130
160,594,211,144
153,580,200,134
162,587,202,140
157,575,194,139
151,558,194,121
157,574,197,131
150,570,198,131
147,561,196,129
156,575,198,129
161,587,201,142
154,566,191,122
154,583,208,138
147,550,196,131
154,600,211,135
165,573,193,133
149,556,190,131
154,595,208,137
151,568,199,125
162,581,198,126
153,581,202,132
168,590,203,134
154,574,204,133
168,571,183,141
158,577,198,142
154,555,192,129
143,548,196,126
162,584,200,144
155,586,208,140
146,560,195,128
151,563,197,135
159,571,194,130
144,545,194,126
157,572,194,127
153,567,196,131
146,550,193,131
160,613,212,136
151,576,198,139
150,566,198,124
151,555,191,122
152,582,202,135
160,602,206,138
158,615,213,130
157,590,207,133
163,583,196,133
163,588,204,137
144,564,200,133
158,585,197,127
155,580,201,131
157,583,200,120
161,597,203,130
153,571,196,126
152,558,187,127
149,566,197,130
155,587,203,140
155,595,210,135
156,593,212,135
148,553,193,128
163,582,198,134
157,588,203,128
157,562,194,135
157,576,196,129
154,580,202,136
151,564,196,131
155,597,207,128
163,597,210,125
153,583,206,127
161,585,203,121
162,614,214,133
155,583,211,134
157,583,206,133
150,554,188,135
153,563,196,123
154,565,196,124
159,584,206,131
149,553,188,127
153,578,199,129
154,576,206,137
154,573,201,132
152,587,206,129
155,575,203,125
155,556,189,135
155,576,202,135
157,584,206,134
152,557,195,123
151,578,207,124
159,577,194,134
152,600,218,140
158,593,212,136
152,570,205,126
157,557,189,135
153,554,190,126
154,585,207,135
154,565,197,124
162,588,200,135
161,608,213,141
160,591,205,134
146,593,215,128
154,579,199,132
154,564,196,133
146,588,211,133
144,549,194,129
156,581,198,133
149,523,177,123
150,546,192,126
157,570,201,123
162,564,193,115
158,574,196,135
154,575,205,142
150,547,191,126
154,557,194,130
148,570,203,134
153,563,196,128
168,604,200,140
154,581,201,134
161,571,201,136
157,600,201,134
168,588,196,137
155,569,191,133
154,576,203,132
150,567,198,130
150,575,197,125
151,551,186,117
146,539,186,122
147,579,208,122
144,547,188,125
156,576,198,128
161,577,204,136
161,595,205,122
170,578,190,133
153,561,196,129
154,590,202,125
153,556,195,127
155,561,192,140
149,562,195,120
149,557,196,121
154,564,193,127
152,561,197,118
162,583,194,127
160,583,204,133
155,555,187,129
154,573,204,126
166,608,214,136
157,571,202,122
153,547,190,137
156,569,198,127
153,585,204,135
157,588,202,142
154,588,202,141
162,573,196,126
158,577,201,138
158,580,201,137
157,600,209,141
152,563,196,128
157,571,198,128
152,577,206,121
154,566,196,123
150,566,193,123
146,549,198,120
162,570,191,127
164,555,183,138
157,566,197,137
155,575,202,144
153,584,204,136
152,564,196,140
155,572,198,128
148,564,198,130
164,607,210,127
151,576,206,130
158,555,190,137
144,565,207,120
159,590,208,141
158,573,191,130
158,547,181,127
147,560,198,121
146,569,206,137
147,555,198,135
152,577,205,127
153,566,202,127
154,567,194,137
161,587,205,127
154,565,192,123
151,575,206,127
171,586,194,128
158,585,197,137
152,577,205,133
155,541,182,131
156,556,197,136
152,582,206,132
161,626,216,144
154,560,189,134
159,597,214,140
156,598,204,129
155,559,194,132
152,560,196,128
153,590,210,131
153,563,196,127
152,571,198,120
154,572,196,133
151,564,194,134
149,566,194,123
148,558,197,128
153,585,206,125
158,575,192,127
151,570,199,131
152,586,212,140
155,572,197,121
163,558,184,133
159,584,204,124
161,586,201,135
154,580,207,136
147,563,197,135
156,560,192,139
156,563,187,128
159,558,192,130
155,588,203,136
158,571,203,135
143,568,203,118
166,567,191,127
161,585,197,137
159,578,198,130
159,587,199,130
159,590,200,143
156,593,206,131
156,575,207,130
158,605,208,139
157,583,201,128
156,575,202,128
159,567,192,134
153,574,198,130
159,579,203,126
160,585,197,132
151,590,214,138
153,575,201,134
157,571,196,125
157,582,207,138
165,579,194,133
159,579,202,135
155,600,210,129
173,596,204,127
160,615,214,136
164,568,183,143
151,577,210,140
170,603,202,133
154,574,203,127
145,569,205,120
150,570,201,127
157,568,196,133
159,550,181,131
157,577,197,130
147,550,192,133
152,578,200,135
155,591,213,129
160,586,196,128
152,562,196,120
148,556,197,114
149,559,194,125
153,611,219,142
160,550,183,114
159,574,195,125
156,584,202,138
153,581,201,129
158,580,196,131
155,620,225,135
157,578,197,116
149,595,213,128
156,593,208,138
159,585,202,124
153,563,190,133
151,558,193,120
152,566,191,120
147,573,206,137
157,600,212,124
161,566,198,132
154,574,197,137
159,597,203,141
150,564,195,118
160,598,210,135
160,597,207,134
161,577,202,131
154,572,196,123
149,566,200,134
158,591,205,132
156,586,203,132
153,562,200,132
155,586,207,130
157,605,217,130
158,596,205,126
146,552,196,122
152,578,210,140
147,565,198,128
156,586,202,130
154,595,213,125
162,582,196,136
152,581,206,140
154,572,201,125
153,587,205,120
154,569,199,124
161,584,194,128
154,579,205,128
158,592,206,124
152,587,217,131
160,590,210,130
151,552,187,117
155,564,190,139
146,575,202,118
145,561,201,128
155,561,189,125
150,573,202,121
157,571,189,120
147,564,196,122
156,567,196,134
163,588,190,133
160,604,207,124
156,586,206,130
156,588,204,128
158,594,206,121
151,587,206,130
176,612,206,143
159,593,202,130
152,567,204,140
149,555,194,121
142,552,196,127
156,559,192,139
154,568,195,137
144,556,197,125
147,554,193,120
154,571,197,126
163,580,197,129
164,591,208,145
164,586,199,125
146,544,190,127
158,573,198,143
152,555,194,125
159,597,205,140
156,574,197,133
153,570,199,124
162,580,200,137
164,574,193,135
167,573,187,136
147,556,193,138
155,560,193,130
147,567,197,135
154,598,214,135
155,557,188,136
158,573,202,133
157,567,196,137
152,561,195,133
169,588,187,140
152,577,200,140
149,564,196,117
158,597,208,144
161,604,204,135
157,580,202,141
167,605,207,137
154,575,197,128
150,552,189,133
155,562,190,135
151,566,197,126
155,571,187,136
148,527,180,128
159,592,213,139
152,553,193,123
169,612,214,140
156,591,210,134
151,581,198,138
153,546,184,126
155,578,201,129
154,549,186,136
147,576,203,135
155,573,201,128
162,575,184,134
157,585,200,141
157,578,200,133
155,594,207,140
154,591,209,126
161,596,206,139
151,556,189,126
154,546,189,132
150,585,207,129
148,565,187,133
152,581,201,134
164,584,206,130
160,597,207,127
154,560,191,132
167,587,199,130
154,587,201,135
159,592,203,136
156,564,190,131
153,572,208,133
150,563,193,127
161,596,206,128
158,571,191,133
155,575,199,129
162,603,211,139
156,572,204,136
152,568,197,130
155,560,193,137
159,592,210,141
148,558,197,127
147,564,195,135
155,583,200,131
152,584,204,135
158,583,197,135
156,592,213,140
147,553,188,132
148,567,198,132
158,573,195,142
147,560,192,126
161,577,197,141
163,603,211,135
147,555,195,128
160,582,199,133
150,567,194,130
148,545,187,125
147,558,201,134
150,560,197,134
158,585,202,130
154,575,196,129
151,570,194,121
157,577,198,135
148,572,203,136
150,570,198,129
153,576,202,128
150,548,188,123
148,553,187,127
150,586,209,127
162,603,212,140
151,588,206,139
157,588,198,135
152,553,192,133
154,578,200,135
149,577,200,130
160,596,206,134
157,587,206,135
157,555,190,121
158,605,211,138
155,560,192,133
156,557,195,134
158,550,188,127
154,589,204,142
149,555,199,139
156,586,207,127
158,583,197,136
154,582,201,143
161,567,196,142
148,566,201,120
148,581,203,129
157,598,211,143
154,582,204,137
160,602,203,132
156,573,197,137
159,584,200,139
165,599,204,132
150,562,197,120
157,562,193,134
158,567,193,127
158,594,204,131
160,577,195,138
166,570,193,142
155,588,205,131
157,574,199,134
157,560,187,134
150,576,201,130
154,592,198,143
152,582,204,134
157,588,205,137
151,561,196,127
154,597,213,143
159,580,205,129
155,582,204,138
161,576,190,126
146,564,196,126
159,585,201,126
156,556,191,140
154,567,197,135
160,580,197,133
156,568,200,143
160,603,211,136
149,561,199,124
158,588,204,140
153,555,191,131
158,560,189,136
156,584,204,129
154,571,200,126
168,593,199,127
160,590,205,127
154,579,208,135
169,594,202,136
163,613,216,138
153,560,192,136
155,560,191,135
165,577,195,125
155,566,196,131
154,574,204,127
148,544,190,120
155,574,201,126
147,558,185,130
150,560,202,131
156,571,198,127
146,569,200,129
153,578,201,133
147,558,192,126
157,585,206,130
152,575,196,138
151,566,196,132
154,570,202,126
140,535,186,132
154,548,194,125
154,588,207,129
158,588,201,145
158,568,188,137
152,557,188,126
158,585,199,136
157,576,199,127
156,544,178,120
157,584,200,122
162,598,206,124
153,562,190,130
146,556,194,133
155,577,201,118
158,594,200,130
152,600,206,130
152,560,196,130
144,558,196,129
160,575,194,132
155,587,207,134
156,562,194,127
157,585,205,135
163,596,203,133
148,574,200,138
160,572,196,125
156,588,206,130
153,573,198,134
150,558,192,130
160,580,201,134
163,593,204,141
148,576,203,127
144,557,193,135
154,598,209,144
147,565,197,128
152,578,199,125
157,579,200,130
148,579,207,139
154,548,186,127
143,585,204,129
163,600,208,137
150,584,205,130
158,586,204,137
158,587,202,130
153,549,190,133
157,578,199,127
152,596,213,138
148,575,206,131
158,589,206,130
160,599,208,136
150,574,207,131
150,572,205,117
159,572,190,129
160,593,208,133
149,567,201,129
148,569,203,133
156,595,202,135
149,555,193,130
141,553,196,124
160,574,200,138
143,558,198,117
150,560,194,122
154,588,207,129
150,565,194,138
160,582,200,125
158,596,211,131
161,577,199,140
148,571,199,117
163,583,194,132
163,597,208,137
158,563,190,130
159,577,195,143
158,570,199,138
163,553,180,129
156,603,210,140
146,564,193,132
149,546,198,133
154,567,191,138
153,576,207,129
157,579,203,132
150,570,197,138
154,583,206,132
150,587,211,130
146,573,209,130
154,564,196,136
161,559,181,141
156,586,207,133
151,555,198,122
152,582,200,137
155,577,198,129
150,588,206,142
160,583,202,130
155,570,194,140
149,590,208,135
163,596,199,138
161,587,200,140
157,597,202,129
154,578,202,134
150,578,201,121
154,582,199,136
156,574,201,129
157,576,193,123
158,588,199,131
154,575,198,132
148,566,198,127
159,595,210,130
156,567,193,135
152,567,197,121
158,601,211,134
154,588,201,140
147,577,203,140
148,562,194,133
164,572,194,138
146,564,199,126
141,569,203,129
153,576,203,133
155,585,202,140
161,579,196,129
156,567,197,133
151,561,194,128
149,561,190,133
144,567,204,130
154,559,192,124
156,568,197,133
150,567,197,124
146,543,190,130
154,584,208,140
146,596,216,138
151,574,198,140
157,589,199,128
159,598,213,131
157,578,203,128
148,584,198,130
157,585,202,136
158,592,206,134
151,564,194,135
154,568,194,137
160,589,203,136
148,553,191,124
157,586,201,138
157,578,203,144
150,547,189,137
159,601,211,147
164,570,187,131
148,540,188,124
158,577,206,125
154,572,194,136
162,600,211,133
161,592,202,144
144,546,196,121
152,593,211,137
157,577,198,143
147,581,204,135
158,585,202,129
152,569,197,127
143,571,203,134
147,551,193,135
160,594,208,129
146,537,190,127
151,585,210,134
153,577,202,134
165,568,198,127
161,573,193,137
158,597,209,133
154,566,197,140
145,547,190,122
150,584,203,124
145,548,191,130
154,577,199,140
154,570,202,133
144,555,188,130
151,556,189,127
156,575,199,131
160,593,206,138
144,565,199,126
158,581,199,130
156,588,204,135
160,595,205,132
153,569,198,127
151,570,199,132
154,586,204,134
157,562,187,122
151,585,211,138
141,571,201,126
161,597,207,128
153,557,195,131
148,554,192,126
148,538,184,127
156,592,206,125
145,548,192,120
159,568,193,121
168,588,199,139
158,571,194,138
168,617,206,144
146,566,201,130
147,564,193,133
164,597,206,142
157,552,188,135
144,577,206,130
159,583,202,130
158,562,193,131
158,615,212,142
149,574,193,127
155,595,210,136
157,590,205,134
160,573,201,129
153,578,199,130
157,587,201,139
154,591,209,142
159,587,204,138
157,578,206,140
158,598,208,137
151,574,199,134
152,562,197,122
150,551,191,127
152,577,208,140
153,571,201,136
160,585,206,133
157,592,204,137
154,544,189,128
148,568,200,126
162,582,202,128
148,564,194,130
159,589,201,142
149,562,199,130
155,582,203,133
151,566,198,135
155,552,184,126
162,598,211,133
154,591,212,133
162,565,195,132
154,555,194,134
158,564,195,133
155,594,212,133
161,576,199,137
150,570,195,133
162,556,187,132
152,565,197,133
150,573,203,132
155,568,196,129
141,524,179,127
146,563,202,130
152,593,211,129
160,580,194,140
155,571,199,142
152,571,196,133
152,574,200,134
150,548,190,131
155,580,201,129
150,577,201,130
159,584,200,133
145,567,194,136
142,537,183,125
156,580,204,137
149,565,198,127
150,578,201,131
152,570,201,131
159,592,206,130
148,555,192,130
153,543,180,128
151,568,199,131
156,593,213,132
150,573,196,135
152,584,199,127
158,600,210,135
148,562,199,133
157,581,202,126
153,566,197,131
153,568,200,132
167,594,200,129
141,553,199,134
148,574,205,126
147,554,192,128
160,547,184,123
154,578,197,138
152,579,207,134
151,563,199,131
161,553,186,139
153,553,190,134
152,567,198,127
150,558,192,136
150,567,199,136
153,558,194,129
154,582,202,131
158,547,183,135
148,564,196,133
162,614,211,130
152,568,203,137
154,563,191,125
152,551,198,131
149,558,196,126
147,584,200,126
156,587,207,130
155,603,215,131
152,558,194,134
154,587,201,135
154,584,204,123
158,562,192,132
153,583,193,133
154,597,207,144
154,586,200,130
147,564,197,133
152,572,200,127
155,566,197,134
152,566,196,133
157,573,197,130
167,594,207,140
158,572,194,133
153,572,197,137
163,568,193,128
155,574,199,136
157,560,193,127
152,579,202,118
163,578,198,143
150,595,211,136
152,574,198,127
160,587,207,122
147,564,199,127
156,583,200,135
152,581,205,129
151,560,197,140
158,600,209,140
152,590,204,137
149,561,194,132
149,575,199,132
157,588,205,133
152,580,201,128
155,585,206,135
149,563,201,128
163,605,210,135
157,547,185,131
152,592,209,140
160,571,192,138
144,569,201,131
148,586,209,136
159,560,186,127
156,576,202,137
155,571,200,128
152,548,190,127
150,563,199,131
148,552,195,130
150,558,196,132
148,572,203,139
150,572,207,138
157,549,185,129
155,573,198,126
146,543,193,131
151,578,198,130
149,558,196,128
156,569,191,135
150,560,199,131
158,571,195,131
151,553,193,128
151,539,183,126
155,590,206,134
150,553,192,130
154,575,200,136
158,578,199,129
147,562,200,130
153,573,196,131
158,593,204,125
152,536,181,132
154,553,187,137
153,578,206,138
155,593,209,132
151,572,204,136
162,598,208,143
158,588,207,131
157,561,184,132
149,552,193,123
147,576,207,138
159,559,181,138
154,581,198,139
159,563,186,132
151,546,187,134
163,582,202,125
154,573,203,127
152,594,207,133
151,551,193,132
147,566,201,135
160,619,217,140
153,565,196,137
157,570,197,121
145,564,198,133
147,572,200,122
150,568,200,130
151,568,199,137
157,596,210,133
160,583,191,137
163,583,198,133
155,584,205,130
152,563,197,129
150,584,204,132
155,590,210,135
151,567,197,131
146,576,205,131
150,560,198,134
153,584,205,139
155,554,190,133
159,578,206,135
150,569,196,128
153,570,200,133
157,589,204,131
159,593,205,133
152,565,201,126
161,594,202,130
162,583,203,132
148,563,202,132
147,562,197,124
161,596,205,138
145,556,197,120
163,571,192,136
158,593,206,136
151,560,191,134
159,607,215,140
154,567,192,131
153,584,210,131
153,555,191,129
144,552,192,132
147,537,185,126
164,580,196,141
149,584,208,133
154,580,205,135
153,602,213,140
153,577,203,132
148,556,197,133
139,547,195,135
153,587,206,136
150,561,195,129
158,585,201,142
149,550,189,129
149,584,206,133
166,596,202,144
149,560,200,132
162,574,194,138
152,578,201,133
150,568,200,142
150,546,189,125
157,577,200,139
149,562,199,130
157,581,205,134
153,574,204,129
162,571,194,136
154,561,199,123
156,578,205,133
145,562,198,137
150,574,203,138
152,571,199,133
156,577,196,129
162,593,203,134
153,556,193,125
150,578,205,132
158,575,199,131
154,575,197,135
150,566,198,139
144,542,191,129
155,580,198,134
165,593,206,145
148,555,196,128
161,575,197,141
163,568,193,137
150,575,203,134
164,613,208,143
151,600,212,141
160,598,210,137
146,584,211,128
163,593,205,136
154,593,208,127
155,576,200,129
148,561,200,128
153,573,203,136
154,558,191,130
154,574,200,133
148,574,203,126
153,557,190,130
153,574,199,143
148,583,209,132
155,569,197,132
150,584,204,135
157,573,194,139
156,586,203,135
155,587,206,136
158,576,196,136
149,568,202,124
151,568,196,129
161,612,215,133
158,587,206,139
167,614,212,131
152,573,199,131
150,574,200,141
157,576,199,140
156,573,201,136
152,572,200,136
162,549,180,137
160,572,196,134
155,584,205,127
154,558,190,131
155,580,203,134
158,567,196,132
156,587,204,131
144,535,187,126
160,592,206,137
161,581,200,136
148,572,200,133
145,569,202,132
163,603,207,145
150,549,185,132
154,580,200,142
156,568,195,127
148,557,194,137
156,585,204,133
162,607,207,139
159,598,207,127
153,562,192,125
155,575,196,133
162,616,212,137
153,576,202,131
153,568,200,130
152,560,195,133
158,574,198,126
161,579,200,126
147,552,191,125
157,589,208,134
154,601,207,143
160,579,199,128
155,555,190,126
170,583,193,138
148,584,206,134
166,598,199,142
158,573,197,135
146,567,200,127
147,566,201,127
153,570,199,132
150,570,202,130
155,592,208,124
151,547,190,126
151,572,200,124
159,604,207,136
145,556,197,123
154,546,184,133
147,567,200,128
156,579,203,129
149,571,204,132
157,562,188,132
142,557,198,122
150,574,212,138
153,578,204,123
147,551,189,121
150,605,218,127
152,575,201,128
145,555,195,130
154,569,200,121
155,575,202,140
157,567,195,141
161,588,203,136
149,586,209,144
148,568,203,127
164,598,208,134
157,571,195,139
151,570,201,128
153,589,201,137
152,556,188,129
153,565,192,133
152,565,194,136
163,601,205,147
157,604,209,134
148,574,203,126
155,586,206,134
149,560,198,126
160,595,211,135
148,565,197,123
149,552,190,127
156,573,198,132
156,577,201,125
148,549,191,135
147,575,210,136
144,569,201,125
144,548,194,119
163,599,208,129
155,568,196,129
152,569,204,134
161,604,212,135
160,575,206,126
162,606,215,136
145,540,190,118
148,562,196,128
154,563,200,129
155,585,210,129
156,587,209,135
150,561,195,124
147,562,199,127
148,549,190,131
155,559,188,129
159,581,199,140
157,587,207,124
147,556,194,132
162,579,190,136
158,605,211,136
154,557,189,133
153,569,197,127
155,542,191,133
152,562,195,131
157,585,207,126
153,547,184,127
157,586,198,131
155,574,200,138
156,577,198,121
157,581,202,129
156,591,209,139
169,614,215,149
151,580,203,130
158,590,208,140
159,583,201,133
147,548,193,120
147,548,191,132
163,588,199,137
156,579,204,131
151,585,208,132
156,596,207,136
160,579,201,139
151,561,195,136
165,577,199,118
155,603,220,134
153,577,200,130
151,556,191,126
159,600,210,128
155,568,193,122
154,589,209,131
148,563,200,129
154,565,200,127
150,565,200,131
164,580,201,142
151,548,196,122
160,569,193,127
153,578,197,128
161,595,210,136
158,560,188,129
155,598,211,137
149,578,205,127
155,573,200,135
151,559,194,130
150,579,202,131
161,599,209,132
158,580,205,135
158,578,200,133
161,587,198,127
155,570,201,141
156,604,215,135
155,567,201,128
149,567,200,123
155,579,198,127
151,558,194,129
154,576,201,138
153,556,198,131
158,569,205,136
147,578,209,136
144,558,198,121
165,610,213,141
153,581,205,128
151,561,194,125
152,562,199,143
154,554,196,135
147,567,195,127
173,580,194,136
153,550,190,126
158,580,204,140
150,563,201,136
155,570,200,135
155,573,204,139
150,559,199,133
153,597,207,138
153,564,199,136
157,577,200,133
157,576,200,130
158,589,203,140
158,578,200,138
153,577,201,131
158,583,199,139
150,561,200,145
160,583,207,133
152,580,207,132
152,592,204,141
158,588,211,135
160,578,195,140
149,580,203,139
150,587,209,132
157,576,198,132
155,585,203,136
144,564,201,137
155,562,190,134
151,551,191,127
158,576,203,138
151,558,200,130
157,605,216,140
157,568,195,140
148,561,200,132
159,595,208,143
147,578,208,133
153,600,211,140
152,571,200,141
148,543,188,129
162,595,205,130
151,583,201,138
146,572,210,131
148,564,199,134
164,591,204,143
151,559,194,132
152,556,189,135
159,590,207,137
151,562,193,126
157,603,214,141
153,585,213,131
148,554,192,128
159,575,194,128
147,543,188,123
162,586,201,137
158,583,203,136
151,553,190,135
159,579,194,130
150,547,192,130
153,566,197,130
153,586,208,130
160,583,195,126
153,568,197,127
153,562,191,138
150,573,201,130
153,558,187,125
162,557,186,134
154,558,191,131
160,590,203,139
140,569,203,129
160,588,200,126
161,597,202,136
169,614,209,136
155,576,200,136
154,586,208,132
168,600,205,137
152,551,189,133
169,583,202,141
156,585,208,136
156,588,207,133
156,561,191,132
140,564,202,132
153,573,204,129
147,535,181,127
160,580,199,130
151,549,189,130
158,580,203,137
142,543,194,135
161,578,196,138
155,594,204,133
152,570,199,135
154,579,202,132
160,589,209,137
146,551,196,128
154,583,207,134
149,559,192,136
152,563,192,127
151,562,197,135
148,603,215,128
150,542,189,124
158,586,202,135
158,570,193,135
174,555,181,136
160,585,205,139
155,580,205,120
153,572,201,126
152,574,201,134
153,588,204,123
156,572,196,121
164,587,203,130
160,568,192,138
153,564,198,138
159,607,213,145
164,583,199,139
155,564,197,132
157,575,204,134
153,583,205,130
151,558,195,132
155,549,189,124
143,553,193,136
150,567,204,128
158,584,203,138
158,565,197,141
158,609,217,136
144,553,195,128
151,569,200,119
154,570,203,131
153,580,205,124
163,583,197,137
156,559,197,125
155,595,209,123
165,583,200,130
158,558,186,140
167,597,204,141
161,593,205,146
147,543,188,133
153,573,206,137
161,581,207,134
156,595,208,146
153,579,207,131
152,564,198,133
148,576,208,130
157,601,207,142
157,560,195,134
166,589,198,146
151,567,199,134
147,575,203,134
159,580,206,134
151,567,195,131
158,573,197,136
155,594,211,138
155,565,198,139
162,573,199,132
156,580,206,133
153,572,198,127
150,577,204,141
160,575,198,133
145,575,206,146
155,573,200,135
142,552,200,132
153,576,203,135
151,570,193,132
155,582,204,137
155,583,203,136
153,557,197,135
163,573,198,137
169,598,202,134
165,603,212,138
158,590,209,134
156,573,194,132
149,542,191,116
152,552,187,128
153,564,200,129
154,555,197,127
155,564,196,129
151,603,219,134
152,545,186,128
150,585,205,134
155,573,204,123
171,577,185,142
155,583,207,130
160,600,213,131
148,564,200,123
153,586,205,138
161,590,206,136
157,578,206,126
156,544,184,132
143,537,187,132
158,557,187,137
145,545,192,120
161,568,190,140
146,537,189,125
150,565,199,130
146,553,194,129
160,587,203,133
153,542,189,126
159,551,189,132
153,568,199,131
144,585,215,141
141,545,193,130
154,584,202,126
150,582,208,141
154,571,198,130
154,563,197,118
153,581,203,136
157,545,182,130
159,581,202,133
156,570,196,125
149,559,196,131
159,600,211,128
153,563,196,134
160,580,196,135
160,573,204,136
152,553,195,130
151,578,203,127
162,545,181,142
152,547,193,129
157,564,194,142
158,578,206,133
155,585,207,141
164,579,195,135
153,568,202,134
152,563,197,128
157,557,188,126
158,594,210,136
142,538,190,124
155,568,194,130
155,568,199,131
151,561,195,130
148,573,200,140
148,579,201,140
163,587,200,142
153,564,201,133
150,572,203,138
158,585,209,133
156,555,191,129
151,575,205,128
146,543,190,131
158,565,194,129
161,565,191,137
153,576,199,135
157,572,200,137
140,546,193,127
153,575,207,129
170,567,187,138
150,562,199,133
141,548,193,126
151,555,189,133
164,581,198,138
148,557,198,127
163,590,201,133
153,555,193,131
151,548,188,127
152,563,196,132
150,563,198,127
151,547,190,125
158,577,199,132
159,594,208,129
157,583,203,132
150,563,200,134
149,554,192,123
154,580,201,150
155,598,209,141
163,605,210,126
160,580,194,140
155,564,199,133
167,598,205,142
153,565,198,136
153,570,197,126
141,581,210,128
148,569,203,132
147,570,200,117
144,554,195,127
150,564,200,134
153,577,204,131
157,574,200,126
152,552,192,124
143,557,198,129
148,573,203,138
160,577,201,134
153,566,194,138
156,596,208,142
157,588,206,143
153,566,198,123
143,547,194,124
150,565,200,123
151,585,210,141
153,562,200,133
155,567,201,128
143,548,194,114
148,573,205,128
151,570,200,125
155,557,190,132
161,571,196,123
152,567,200,116
163,585,203,138
167,585,201,139
153,565,197,128
156,572,199,130
152,583,205,136
145,563,199,138
160,583,198,127
156,571,197,121
158,566,196,128
151,579,200,137
148,555,193,133
152,575,201,115
153,557,189,126
155,557,192,125
156,563,194,131
154,588,206,135
147,557,196,131
158,580,206,127
157,578,198,131
153,547,191,127
155,575,204,133
150,558,193,126
158,576,198,135
166,600,207,131
152,554,195,131
158,567,194,127
160,582,200,126
160,593,200,140
155,570,202,115
148,562,196,124
157,563,190,133
155,583,204,137
150,560,196,130
150,563,193,134
146,553,195,125
159,571,200,129
155,586,204,133
150,566,199,130
153,600,212,131
150,570,198,137
153,564,198,135
152,575,201,135
154,565,197,127
155,565,197,131
158,568,191,131
155,562,194,132
152,568,201,128
163,593,207,134
160,600,206,130
145,559,193,134
160,580,204,139
149,555,199,135
160,581,199,129
160,595,205,134
155,574,200,130
160,610,208,131
146,566,200,129
151,567,199,141
148,548,192,133
159,587,204,133
147,557,197,122
148,568,202,136
156,587,204,140
155,574,198,127
157,562,194,131
155,607,210,134
151,557,191,133
157,567,197,130
145,532,186,125
145,570,202,130
153,565,199,137
158,598,206,131
161,580,196,117
159,591,205,131
148,572,204,126
147,561,200,120
158,581,200,136
158,573,196,141
150,584,210,131
148,572,204,131
160,595,209,134
153,557,199,125
152,573,202,129
167,576,195,139
168,608,204,123
163,565,191,121
164,594,210,138
157,570,195,132
149,550,194,130
156,585,202,130
146,566,201,117
156,571,197,127
150,564,199,123
146,561,198,128
159,568,196,135
160,558,194,125
149,557,193,128
155,583,204,111
153,550,192,119
153,568,194,133
158,558,189,130
151,584,202,128
150,569,196,132
155,573,195,127
149,565,196,125
168,560,181,130
150,577,202,124
153,563,195,135
157,577,196,130
152,560,195,122
158,576,199,126
148,560,194,129
153,576,204,129
163,566,197,135
152,575,198,131
155,570,198,138
150,583,210,131
147,559,198,122
156,575,199,144
153,565,195,130
150,558,191,137
160,595,204,131
147,546,190,126
153,580,206,133
163,593,204,136
158,581,204,132
163,595,206,133
155,576,204,130
160,579,198,132
157,570,200,142
161,570,192,136
158,581,199,116
155,556,189,129
155,587,202,132
140,540,194,110
159,573,195,132
161,581,202,132
159,593,208,139
153,578,203,132
158,574,195,139
162,588,210,132
147,554,192,127
150,557,192,117
152,575,202,136
158,583,202,136
148,543,186,123
150,598,214,142
153,575,199,131
152,581,210,134
156,586,200,133
165,598,203,140
151,558,195,136
167,599,205,127
138,558,198,127
153,588,206,140
143,561,200,126
154,574,199,124
155,581,204,130
155,585,205,124
152,592,210,139
158,581,203,133
166,578,197,128
153,568,197,125
153,546,180,120
153,556,192,125
168,600,208,139
162,573,195,133
160,590,206,132
