stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.791,929,263,1828,1007,1211,280,196,1151,1299,1116,1543,902
1.7,819,181,1763,746,1123,267,192,1061,1200,922,1437,914
1.862,921,261,1883,1071,1162,280,200,1223,1348,1063,1605,965
1.727,865,243,1798,982,1213,274,192,1154,1272,1048,1493,894
1.684,834,189,1844,795,1152,259,188,1074,1209,939,1454,891
1.709,849,234,1763,961,1159,259,174,1077,1239,1018,1478,905
1.761,899,213,1852,830,1119,274,191,1122,1308,978,1544,887
1.725,847,246,1749,988,1214,277,195,1067,1243,1093,1494,920
1.657,831,222,1789,897,1177,261,188,1076,1200,1026,1430,881
1.738,881,197,1746,790,1122,269,184,1068,1282,920,1484,928
1.936,984,207,1946,855,1140,294,206,1267,1412,993,1669,986
1.869,919,270,1946,1116,1285,290,205,1185,1410,1213,1625,980
1.834,903,278,1888,1077,1205,284,195,1190,1315,1124,1579,956
1.928,1001,302,2023,1185,1405,285,205,1287,1433,1255,1681,992
1.831,917,257,1942,1055,1282,283,201,1181,1308,1193,1591,952
1.758,841,246,1798,961,1160,272,188,1171,1250,1026,1506,883
1.721,881,197,1832,782,1110,268,191,1122,1256,943,1488,890
1.883,901,257,1957,1008,1197,289,214,1168,1359,1042,1617,1002
1.811,903,238,1932,961,1209,282,197,1212,1316,1115,1556,909
1.7,850,174,1736,687,1002,254,184,1087,1255,848,1456,872
1.664,846,187,1777,763,1123,253,186,1080,1218,892,1423,879
1.733,850,206,1770,887,1110,263,182,1126,1244,996,1507,918
1.839,915,242,1866,1018,1260,284,199,1155,1338,1114,1583,996
1.6,813,163,1559,648,925,216,174,1012,1162,774,1369,850
1.771,874,231,1917,987,1216,272,199,1144,1284,1113,1522,895
1.859,908,288,1970,1113,1326,303,217,1213,1381,1182,1598,967
1.839,957,204,1986,809,1207,280,201,1190,1375,988,1591,910
1.759,868,212,1787,846,1168,267,189,1086,1299,993,1518,934
1.688,834,242,1756,1008,1173,264,189,1108,1239,1145,1454,907
1.792,896,198,1915,846,1171,276,203,1151,1302,1012,1544,937
1.79,858,216,1884,880,1237,278,195,1072,1287,1052,1540,965
1.773,872,235,1797,950,1174,267,189,1156,1274,1089,1517,934
1.765,903,184,1855,762,1072,269,193,1114,1304,944,1532,900
1.732,817,223,1767,956,1266,280,200,1081,1245,1144,1488,956
1.81,912,217,1843,869,1179,276,193,1161,1329,1033,1567,940
1.728,853,175,1778,755,1069,264,194,1074,1258,912,1485,891
1.814,830,262,1826,1054,1262,274,185,1127,1342,1174,1587,982
1.772,851,190,1772,847,1171,276,184,1148,1269,1056,1526,921
1.75,860,185,1808,775,1145,265,193,1157,1259,935,1489,926
1.803,899,192,1838,796,1186,269,182,1118,1312,1011,1543,953
1.737,861,202,1799,803,1129,258,187,1108,1310,951,1499,908
1.839,898,227,1934,898,1188,290,202,1174,1364,1089,1591,953
1.88,924,253,1943,1056,1190,290,204,1195,1356,1083,1619,980
1.785,879,204,1858,878,1149,276,196,1115,1311,1055,1547,942
1.794,881,214,1873,902,1169,284,211,1142,1302,1086,1528,936
1.728,846,207,1818,883,1206,268,184,1130,1280,1009,1484,893
1.699,851,215,1769,866,1116,277,187,1073,1235,971,1466,880
1.771,900,193,1727,757,1078,251,184,1121,1291,954,1521,934
1.768,865,216,1806,853,1120,256,195,1102,1290,980,1524,925
1.712,830,251,1749,1025,1195,272,187,1094,1202,1119,1468,927
1.674,847,196,1757,813,1066,251,182,1080,1224,912,1453,879
1.729,816,245,1777,1015,1207,265,191,1132,1256,1150,1482,920
1.746,868,231,1842,998,1216,284,198,1168,1278,1104,1524,891
1.609,801,282,1624,1064,1179,251,181,1057,1206,1097,1381,845
1.797,884,236,1815,971,1130,258,178,1159,1292,980,1560,969
1.809,869,283,1906,1136,1277,277,213,1141,1290,1215,1563,974
1.735,876,181,1828,731,1086,266,194,1117,1261,890,1487,895
1.718,844,246,1832,969,1245,270,199,1142,1259,1075,1485,901
1.776,889,212,1886,879,1194,276,204,1165,1300,1084,1515,911
1.658,838,187,1700,753,1073,245,183,1077,1228,926,1417,860
1.856,915,237,1930,964,1254,277,195,1180,1381,1109,1590,978
1.704,858,254,1813,1020,1236,268,206,1114,1240,1161,1460,899
1.787,933,217,1922,882,1230,280,202,1221,1306,1058,1556,876
1.653,799,243,1693,1005,1158,254,184,1046,1161,1042,1411,899
1.853,919,232,1903,938,1170,272,186,1212,1373,1022,1606,964
1.779,961,190,1909,757,1051,287,215,1156,1334,851,1537,873
1.759,865,270,1798,1016,1191,266,189,1124,1272,1118,1523,928
1.738,890,185,1778,743,1077,272,188,1092,1288,895,1501,926
1.712,841,252,1796,971,1342,256,177,1070,1218,1197,1484,897
1.703,856,206,1865,842,1160,264,194,1087,1231,957,1450,875
1.736,842,230,1787,902,1135,264,188,1085,1253,977,1494,938
1.72,840,220,1794,902,1173,264,184,1094,1251,1026,1497,923
1.786,884,306,1832,1229,1275,277,190,1149,1310,1195,1546,964
1.711,866,268,1743,997,1174,275,178,1127,1249,1093,1473,906
1.724,851,199,1784,846,1093,270,186,1072,1230,926,1492,919
1.736,882,226,1864,908,1222,265,201,1100,1282,1106,1505,903
1.736,855,175,1771,778,1083,269,190,1122,1280,922,1498,901
1.81,897,361,1990,1356,1258,293,205,1182,1360,1244,1577,939
1.678,841,227,1727,909,1132,268,187,1077,1217,1003,1442,876
1.746,865,218,1779,877,1173,264,191,1092,1300,1041,1503,928
1.736,832,216,1731,836,1100,256,185,1119,1265,991,1486,924
1.774,878,246,1836,1013,1269,281,192,1146,1300,1154,1514,947
1.75,874,218,1868,864,1140,284,199,1132,1263,1001,1511,898
1.88,964,250,2033,1004,1298,306,209,1246,1393,1078,1633,961
1.703,845,221,1754,933,1160,271,187,1134,1243,1056,1471,900
1.921,942,254,1906,995,1234,297,194,1213,1406,1096,1647,1001
1.826,883,228,1868,911,1177,284,192,1101,1334,1022,1589,962
1.822,915,191,1887,834,1122,277,198,1168,1334,918,1577,954
1.679,832,203,1694,766,1028,257,179,1071,1237,865,1447,873
1.766,874,235,1794,924,1170,255,187,1115,1281,1059,1512,937
1.735,881,184,1741,758,1103,251,184,1085,1261,912,1508,923
1.812,870,223,1836,921,1186,269,189,1178,1316,1051,1543,961
1.752,844,222,1799,894,1165,268,189,1142,1276,1012,1508,936
1.653,817,213,1744,880,1198,256,184,1121,1206,1077,1441,869
1.774,908,274,1855,1112,1277,297,197,1200,1288,1191,1529,910
1.714,850,182,1786,798,1099,278,192,1097,1245,958,1477,889
1.764,841,227,1835,900,1182,281,196,1137,1257,1008,1521,937
1.832,921,216,1917,914,1228,282,195,1145,1313,1031,1577,965
1.8,880,236,1797,1001,1208,277,194,1135,1283,1117,1542,939
1.704,851,298,1782,1155,1242,273,185,1113,1213,1224,1461,914
1.799,911,264,1908,1049,1268,290,200,1189,1365,1182,1567,944
1.733,853,198,1876,813,1165,268,190,1132,1264,1023,1505,903
1.775,834,284,1783,1113,1250,278,184,1200,1292,1170,1526,932
1.65,809,195,1677,758,1046,232,177,1084,1192,917,1411,858
1.688,826,255,1730,1014,1158,251,177,1127,1208,1082,1445,885
1.682,835,283,1706,1061,1162,254,187,1093,1221,1113,1456,887
1.715,868,267,1708,1045,1180,258,173,1156,1272,1099,1485,890
1.691,826,281,1709,1055,1266,256,178,1090,1247,1116,1457,928
1.758,891,225,1851,956,1241,269,193,1175,1297,1157,1517,904
1.844,922,252,1840,993,1287,273,189,1201,1352,1173,1587,961
1.82,915,213,1928,928,1215,279,193,1145,1331,1063,1560,944
1.745,847,223,1787,910,1168,268,197,1164,1281,1057,1503,908
1.848,908,207,1965,833,1168,287,201,1168,1339,970,1592,958
1.768,886,273,1793,1067,1293,262,184,1091,1287,1223,1526,937
1.769,885,235,1792,902,1180,267,186,1136,1273,1065,1541,918
1.818,919,243,1881,975,1163,269,191,1171,1316,1092,1580,954
1.673,822,220,1693,887,1121,253,180,1047,1198,966,1442,887
1.724,829,256,1773,965,1231,268,184,1048,1227,1090,1483,959
1.722,851,183,1799,804,1176,285,190,1092,1240,1022,1492,910
1.761,852,232,1856,940,1130,272,192,1161,1294,1035,1526,912
1.761,870,261,1755,999,1183,263,192,1095,1289,1126,1513,935
1.693,868,201,1766,819,1072,254,183,1060,1280,973,1466,881
1.686,858,247,1723,947,1184,264,184,1079,1238,1020,1457,915
1.683,831,220,1674,867,1091,247,184,1063,1231,992,1442,916
1.688,827,231,1707,872,1184,239,168,1018,1230,1040,1452,939
1.764,844,230,1797,956,1174,276,197,1154,1289,1079,1514,926
1.802,913,236,1847,933,1167,267,184,1155,1316,1064,1558,944
1.881,935,225,1918,913,1171,270,196,1250,1374,988,1635,950
1.682,812,273,1767,1070,1259,258,193,1085,1253,1213,1446,891
1.799,894,265,1802,1060,1242,279,194,1161,1302,1104,1559,937
1.841,964,272,1919,1111,1248,307,208,1232,1370,1123,1609,950
1.776,904,217,1816,897,1146,279,195,1124,1321,1011,1533,934
1.734,884,263,1835,1038,1220,285,191,1119,1283,1095,1506,919
1.759,897,188,1786,766,1113,274,195,1075,1300,946,1501,928
1.827,936,245,1926,987,1267,283,200,1193,1359,1140,1586,928
1.835,944,262,1880,1068,1368,287,204,1202,1376,1297,1597,920
1.744,866,216,1805,855,1193,258,187,1066,1290,1042,1498,928
1.772,874,226,1778,961,1166,268,192,1093,1278,1041,1515,952
1.65,851,210,1698,835,1158,253,180,1045,1210,1008,1417,885
1.745,883,214,1772,834,1165,274,186,1071,1278,1017,1498,941
1.805,941,190,1932,857,1232,284,192,1142,1332,1028,1568,940
1.66,860,197,1697,798,1107,262,181,1038,1222,936,1439,880
1.824,951,262,1885,1012,1276,271,198,1180,1379,1161,1577,938
1.857,931,288,1896,1095,1250,268,199,1180,1375,1178,1614,977
1.79,886,243,1791,1023,1220,284,197,1117,1301,1072,1528,972
1.807,942,232,1886,937,1186,267,198,1146,1345,1068,1571,913
1.746,876,213,1814,840,1114,263,191,1145,1280,979,1511,883
1.676,840,243,1731,971,1185,253,180,1077,1231,1051,1431,888
1.789,938,249,1942,963,1276,278,196,1137,1327,1049,1547,927
1.785,913,342,1888,1222,1200,270,190,1218,1302,1179,1553,888
1.829,922,306,1858,1171,1152,284,206,1169,1361,1137,1597,968
1.68,816,224,1742,894,1134,255,185,1055,1213,958,1450,917
1.764,887,251,1826,994,1167,284,200,1197,1311,1077,1531,907
1.682,852,281,1693,1034,1096,263,178,1074,1212,1061,1465,875
1.764,875,284,1857,1066,1253,277,193,1120,1289,1115,1522,939
1.73,846,285,1783,1031,1157,276,196,1048,1250,1052,1482,947
1.867,930,259,1940,1052,1256,296,207,1213,1352,1194,1602,984
1.673,823,209,1719,861,1142,264,187,1057,1198,1005,1447,879
1.912,991,299,2066,1140,1372,293,210,1224,1432,1312,1670,983
1.734,842,230,1769,896,1127,264,191,1042,1248,1050,1497,942
1.67,838,272,1751,1008,1150,266,187,1076,1215,1117,1447,863
1.732,873,217,1865,832,1170,274,198,1120,1276,1017,1490,888
1.805,931,293,1826,1089,1187,267,196,1180,1293,1104,1567,914
1.705,825,189,1710,796,1088,254,182,1059,1244,967,1468,918
1.689,817,248,1707,956,1171,254,190,1072,1237,1075,1446,904
1.775,878,242,1787,966,1118,267,196,1124,1290,1054,1523,932
1.809,938,275,1948,1050,1260,274,199,1164,1341,1137,1579,918
1.808,905,276,1809,1055,1243,272,182,1178,1332,1083,1575,938
1.713,854,206,1812,859,1154,268,195,1112,1253,962,1479,885
1.748,869,238,1756,966,1163,263,190,1090,1282,1011,1520,909
1.711,852,274,1756,1036,1237,274,191,1104,1260,1188,1490,917
1.822,918,264,1900,1054,1188,276,194,1135,1323,1140,1582,954
1.744,839,259,1835,968,1191,278,194,1077,1269,1038,1488,942
1.867,967,239,1999,945,1166,276,198,1234,1389,1014,1622,921
1.923,980,257,1997,1068,1322,294,217,1232,1421,1190,1681,973
1.676,798,249,1704,1014,1144,256,184,1108,1192,1061,1432,914
1.762,847,238,1865,1001,1180,277,204,1132,1262,1134,1506,916
1.717,852,293,1836,1065,1221,285,193,1127,1240,1142,1473,891
1.751,882,308,1881,1194,1347,279,205,1127,1298,1202,1515,927
1.73,863,305,1784,1170,1225,259,187,1115,1266,1176,1501,905
1.759,882,296,1842,1182,1301,270,195,1184,1286,1261,1522,915
1.681,842,226,1716,895,1081,252,174,1056,1227,968,1450,893
1.781,875,269,1836,1076,1226,285,194,1171,1286,1170,1548,936
1.724,858,201,1716,804,1088,267,181,1085,1255,961,1473,906
1.847,884,255,1960,1012,1227,276,205,1139,1350,1113,1573,991
1.76,902,260,1839,1022,1190,253,191,1140,1285,1061,1530,888
1.785,867,296,1828,1114,1212,277,206,1142,1302,1183,1541,964
1.805,871,222,1809,885,1124,283,200,1136,1334,962,1560,969
1.781,891,291,1852,1084,1223,266,200,1179,1323,1157,1549,919
1.661,809,260,1722,1000,1081,246,174,1061,1212,1062,1428,888
1.76,885,280,1794,1073,1279,267,194,1144,1291,1143,1512,922
1.679,837,267,1808,991,1252,279,197,1055,1211,1122,1433,893
1.819,885,265,1838,1035,1191,268,189,1143,1327,1108,1565,969
1.719,873,259,1756,947,1164,287,188,1137,1268,1071,1490,879
1.73,836,243,1798,981,1201,270,180,1085,1286,1108,1498,919
1.702,884,300,1799,1051,1230,268,193,1123,1270,1149,1468,871
1.796,901,261,1877,1023,1190,279,190,1138,1292,1073,1534,943
1.818,869,286,1810,1137,1339,274,190,1141,1312,1274,1566,985
1.695,845,217,1801,889,1130,277,187,1100,1224,1046,1459,868
1.78,922,262,1839,1002,1196,274,187,1171,1319,1168,1539,896
1.848,922,270,1904,1074,1254,287,190,1177,1364,1158,1605,958
1.851,937,286,1876,1080,1282,281,190,1193,1338,1151,1588,956
1.666,827,298,1759,1132,1271,257,186,1106,1211,1171,1425,879
1.768,843,262,1834,1026,1193,274,192,1122,1289,1059,1511,942
1.79,906,271,1852,1062,1283,276,198,1139,1321,1129,1572,921
1.702,838,284,1749,1087,1245,258,185,1142,1241,1209,1481,898
1.877,938,260,1966,1004,1331,287,212,1197,1375,1194,1620,982
1.78,877,251,1856,961,1165,287,204,1128,1273,1088,1542,953
1.752,897,221,1838,882,1185,268,196,1137,1295,982,1519,898
1.776,891,288,1846,1023,1137,279,193,1129,1278,1044,1558,924
1.674,833,278,1716,1069,1164,249,175,1057,1227,1052,1452,893
1.721,833,306,1739,1180,1212,273,184,1125,1197,1171,1472,914
1.717,876,254,1781,990,1216,270,192,1105,1239,1098,1488,888
1.705,862,239,1817,904,1165,274,183,1075,1248,994,1478,877
1.693,857,272,1848,1033,1169,269,197,1136,1241,1081,1474,842
1.768,863,248,1861,1007,1226,274,198,1124,1292,1102,1517,940
1.74,904,261,1921,1011,1279,288,214,1138,1278,1187,1522,865
1.78,883,250,1836,979,1206,272,201,1098,1282,1111,1527,933
1.803,885,235,1836,840,1161,281,197,1159,1315,981,1564,937
1.785,904,203,1883,870,1115,278,205,1132,1324,999,1545,893
1.776,893,282,1900,1058,1248,279,200,1141,1326,1176,1544,913
1.755,881,265,1772,1063,1213,278,196,1122,1295,1160,1527,930
1.591,776,242,1578,962,1023,243,176,1021,1142,959,1371,852
1.86,895,309,1812,1153,1219,277,209,1186,1346,1168,1580,1013
1.743,839,187,1706,829,1160,257,176,1119,1250,1008,1494,924
1.744,843,223,1772,895,1116,267,189,1125,1274,1027,1488,928
1.79,895,310,1829,1106,1248,264,194,1148,1308,1155,1543,947
1.799,890,281,1830,1101,1281,273,195,1185,1332,1204,1564,950
1.73,866,282,1805,1065,1317,269,188,1123,1252,1166,1485,912
1.682,804,202,1733,838,1108,257,186,1009,1216,941,1430,915
1.735,875,244,1818,983,1212,268,186,1150,1272,1127,1505,879
1.728,864,316,1854,1163,1279,274,201,1098,1277,1251,1504,900
1.692,857,194,1729,826,1104,255,183,1112,1259,968,1461,888
1.834,918,185,1849,782,1093,274,188,1169,1341,941,1575,948
1.853,906,239,1914,1039,1249,287,198,1205,1340,1141,1590,980
1.722,869,289,1789,1090,1221,256,181,1142,1293,1150,1492,895
1.74,878,246,1835,909,1141,266,197,1105,1240,987,1486,899
1.707,834,276,1731,1035,1180,254,187,1082,1242,1090,1475,915
1.771,882,210,1869,847,1126,277,198,1073,1262,922,1520,942
1.803,881,250,1844,981,1185,277,196,1155,1316,1053,1543,962
1.805,917,267,1816,1046,1195,277,193,1191,1332,1136,1564,939
1.815,870,252,1886,1025,1246,287,197,1153,1308,1164,1550,971
1.882,953,277,1920,1067,1204,294,206,1256,1376,1043,1640,943
1.754,869,247,1802,989,1185,270,185,1104,1295,1088,1517,939
1.668,818,248,1696,936,1166,241,184,1040,1247,1053,1431,881
1.835,940,214,2006,886,1265,281,204,1202,1319,1064,1585,930
1.829,886,242,1846,994,1236,290,195,1204,1343,1164,1564,957
1.827,900,276,1889,1104,1173,268,191,1156,1318,1119,1586,967
1.785,873,239,1878,1027,1169,283,197,1125,1275,1055,1539,936
1.715,847,282,1739,1087,1212,264,187,1135,1263,1142,1489,892
1.827,914,202,1839,864,1162,287,195,1166,1329,982,1568,965
1.796,908,180,1929,815,1160,281,200,1119,1293,997,1549,918
1.693,819,230,1684,924,1177,251,182,1082,1215,1082,1454,895
1.713,845,217,1816,905,1213,270,194,1091,1256,1112,1488,907
1.823,904,240,1799,918,1085,272,186,1111,1315,932,1566,974
1.842,918,275,1924,1013,1190,257,195,1170,1344,1109,1584,967
1.673,839,259,1722,974,1067,257,191,1072,1232,1053,1440,881
1.771,886,295,1829,1108,1259,278,194,1158,1306,1166,1544,931
1.729,843,194,1796,815,1153,273,193,1104,1256,973,1480,925
1.833,925,254,1869,1032,1237,273,190,1202,1305,1117,1581,945
1.724,845,229,1873,925,1215,263,201,1058,1258,1076,1481,909
1.765,881,254,1799,1000,1237,273,186,1127,1285,1142,1518,942
1.73,909,277,1900,1014,1206,265,195,1141,1289,1140,1502,873
1.694,866,268,1846,1009,1254,267,188,1154,1253,1114,1472,858
1.668,841,244,1723,948,1184,262,180,1044,1205,1041,1452,892
1.803,919,209,1933,885,1291,285,197,1189,1325,1152,1572,918
1.814,902,238,1860,977,1213,273,195,1161,1309,1106,1579,954
1.796,871,329,1856,1185,1263,274,204,1132,1302,1213,1561,965
1.811,918,306,1863,1146,1303,287,192,1203,1322,1277,1570,946
1.771,903,211,1822,857,1110,283,195,1132,1307,977,1543,900
1.826,912,246,1901,993,1192,270,185,1157,1326,1062,1587,945
1.785,897,322,1809,1168,1140,274,194,1162,1322,1147,1563,942
1.717,813,233,1746,953,1185,273,190,1087,1249,1090,1489,927
1.781,910,323,1904,1142,1275,289,210,1182,1285,1145,1554,910
1.718,820,247,1740,990,1210,254,187,1079,1229,1071,1475,942
1.797,894,219,1829,935,1246,274,193,1131,1306,1079,1542,948
1.817,882,276,1873,1068,1235,280,193,1158,1342,1130,1579,962
1.767,857,243,1867,965,1244,274,197,1133,1302,1137,1523,925
1.822,972,223,1995,915,1252,304,210,1190,1334,1071,1577,914
1.665,804,177,1734,793,1070,257,176,978,1184,912,1423,905
1.827,915,248,1911,984,1195,269,206,1154,1340,1042,1570,960
1.791,909,214,1822,915,1175,267,193,1145,1313,1049,1552,933
1.822,941,262,1963,1035,1218,301,205,1197,1351,1108,1591,925
1.82,890,244,1911,1041,1248,288,199,1143,1320,1142,1567,992
1.766,916,272,1896,1038,1226,282,206,1139,1288,1153,1523,889
1.774,947,272,1892,1017,1303,282,200,1173,1309,1206,1536,891
1.814,943,268,1934,1032,1299,284,197,1163,1344,1182,1592,920
1.838,911,329,1927,1187,1311,296,205,1188,1333,1261,1595,975
1.842,952,255,1980,939,1177,304,231,1196,1370,984,1626,928
1.781,939,217,1859,846,1209,278,213,1173,1317,1022,1546,890
1.893,933,178,1926,771,1155,298,215,1188,1376,945,1624,979
1.801,923,351,1932,1260,1344,290,204,1188,1323,1302,1544,925
1.894,1016,252,1996,995,1261,295,215,1255,1393,1099,1651,927
1.607,788,209,1667,827,1098,242,174,1032,1160,907,1355,842
1.832,960,229,1933,935,1133,284,207,1214,1353,1077,1590,915
1.725,877,258,1794,992,1171,259,192,1100,1252,1065,1476,910
1.842,933,182,1877,798,1120,284,204,1242,1331,951,1597,944
1.738,849,264,1822,1020,1220,273,195,1079,1260,1130,1497,921
1.792,866,215,1858,900,1136,268,190,1087,1277,939,1536,964
1.746,874,309,1814,1136,1215,278,198,1142,1285,1228,1509,933
1.78,916,238,1892,924,1181,295,204,1171,1303,1032,1544,885
1.78,891,265,1866,1033,1257,278,198,1130,1276,1118,1542,936
1.767,843,207,1779,873,1108,268,189,1079,1287,951,1514,952
1.845,935,269,1933,1071,1235,291,214,1165,1356,1207,1593,986
1.719,898,273,1863,980,1229,264,203,1122,1278,1100,1499,872
1.73,826,263,1834,1032,1231,258,191,1108,1251,1207,1481,913
1.872,947,200,1944,828,1187,281,207,1175,1361,1026,1604,985
1.797,904,256,1883,964,1210,278,205,1151,1294,1089,1533,964
1.805,896,318,1867,1192,1300,282,203,1177,1341,1277,1561,940
1.725,843,278,1817,1050,1107,264,194,1112,1239,1093,1490,909
1.664,802,243,1695,951,1144,257,186,1103,1199,1086,1418,893
1.788,929,224,1882,910,1200,283,204,1161,1308,1075,1557,916
1.723,844,225,1760,907,1159,264,183,1071,1260,987,1493,924
1.821,920,285,1981,1105,1231,299,207,1187,1305,1147,1570,941
1.745,863,226,1849,905,1168,273,200,1082,1277,1048,1506,921
1.685,815,244,1696,1004,1175,258,186,1118,1217,1088,1462,914
1.715,830,214,1719,842,1149,257,186,1063,1256,979,1465,924
1.775,881,300,1859,1107,1291,278,197,1164,1288,1199,1527,932
1.763,869,230,1802,979,1177,280,198,1132,1278,1117,1516,935
1.745,868,227,1767,889,1137,272,190,1078,1240,1007,1510,918
1.686,829,217,1760,900,1129,253,184,1072,1212,1027,1451,894
1.74,861,233,1824,959,1249,274,194,1103,1255,1114,1498,936
1.771,881,211,1863,900,1251,267,196,1067,1274,1102,1533,955
1.701,861,193,1740,800,1047,264,193,1073,1245,907,1468,864
1.847,948,248,1942,923,1218,278,198,1178,1360,1023,1587,930
1.668,831,273,1733,1050,1112,255,183,1062,1206,1076,1446,877
1.721,841,280,1743,1052,1223,261,180,1124,1225,1112,1467,934
1.811,916,295,1796,1156,1305,264,191,1155,1347,1251,1576,975
1.672,792,210,1702,836,1094,251,177,1108,1241,977,1438,930
1.77,895,261,1843,1095,1326,266,194,1143,1282,1223,1539,930
1.722,910,319,1852,1132,1217,267,198,1150,1237,1133,1504,864
1.811,914,304,1903,1179,1298,276,200,1181,1329,1283,1575,933
1.795,872,303,1884,1057,1182,296,208,1205,1325,1133,1562,935
1.69,804,207,1700,869,1175,246,178,1054,1223,1048,1438,913
1.927,985,182,1975,757,1052,295,212,1193,1428,847,1678,1008
1.763,843,224,1833,912,1133,270,194,1070,1285,1034,1523,946
1.737,855,221,1786,917,1152,276,194,1092,1252,993,1485,916
1.805,938,247,1930,952,1185,287,202,1196,1337,1128,1576,900
1.804,899,220,1890,900,1148,290,207,1155,1322,1009,1562,959
1.798,937,238,1895,923,1198,283,197,1162,1307,1034,1568,893
1.745,892,257,1854,1044,1325,282,203,1142,1260,1232,1529,896
1.694,823,202,1694,866,1145,259,177,1030,1230,1002,1465,928
1.824,884,247,1735,981,1166,280,184,1160,1335,1054,1572,963
1.739,891,238,1839,925,1176,256,198,1085,1259,1040,1513,921
1.772,852,233,1823,997,1184,278,195,1125,1298,1143,1539,929
1.864,975,227,1922,951,1166,284,198,1198,1359,1074,1627,952
1.67,882,184,1767,698,1060,252,186,1089,1241,881,1436,822
1.76,877,207,1898,897,1203,286,198,1176,1321,1076,1526,914
1.655,824,212,1746,885,1091,259,191,1060,1198,925,1426,864
1.696,859,245,1799,946,1117,247,186,1082,1188,1047,1452,882
1.761,842,194,1809,813,1156,265,183,1054,1301,968,1505,956
1.79,937,259,1858,984,1205,255,186,1176,1310,1113,1546,913
1.777,907,273,1877,1066,1228,275,196,1175,1292,1152,1549,892
1.78,875,223,1788,979,1167,269,181,1187,1290,1034,1535,940
1.774,916,243,1864,960,1189,287,200,1113,1285,1053,1526,934
1.785,903,238,1893,939,1263,280,203,1162,1302,1083,1537,927
1.783,933,210,1831,819,1147,267,181,1139,1326,947,1533,928
1.698,827,258,1728,1019,1200,262,186,1111,1221,1059,1461,885
1.706,875,270,1786,1005,1268,270,185,1102,1250,1095,1473,890
1.831,920,251,1920,1026,1210,293,210,1206,1351,1089,1566,937
1.705,886,256,1837,991,1179,275,180,1184,1247,1095,1485,846
1.807,931,228,2006,902,1281,296,215,1174,1325,1119,1560,919
1.641,771,210,1677,814,1145,230,172,1027,1180,977,1387,911
1.906,969,268,1954,1040,1262,284,208,1244,1408,1154,1653,990
1.74,906,256,1906,973,1220,268,201,1135,1271,1064,1504,888
1.814,893,336,1899,1262,1246,284,204,1179,1305,1196,1562,975
1.885,970,263,1904,1037,1175,284,201,1229,1390,1142,1607,957
1.66,838,218,1737,855,1214,254,177,1095,1243,1037,1445,862
1.813,892,215,1829,901,1194,281,192,1142,1333,1019,1565,950
1.731,852,321,1728,1156,1193,262,188,1181,1261,1182,1505,924
1.79,905,239,1820,950,1217,274,185,1145,1304,1065,1541,940
1.766,905,298,1852,1129,1249,275,197,1130,1294,1134,1528,930
1.742,875,251,1767,966,1154,268,189,1102,1283,1001,1505,926
1.781,901,254,1832,1011,1224,275,199,1143,1311,1082,1537,936
1.778,920,268,1926,989,1217,285,212,1185,1331,1104,1550,899
1.664,826,201,1708,800,1096,237,171,1025,1188,904,1430,894
1.666,809,259,1666,1013,1163,272,188,1069,1196,1139,1437,911
1.759,833,216,1771,879,1124,271,188,1076,1274,973,1499,944
1.586,743,266,1599,1008,1150,235,167,1042,1112,1032,1363,905
1.714,786,201,1770,775,1111,269,186,992,1220,923,1448,959
1.78,873,208,1752,884,1117,274,190,1122,1290,961,1533,954
1.766,934,273,1809,1035,1227,277,193,1167,1320,1159,1539,903
1.628,783,198,1679,822,1115,252,176,1010,1184,998,1385,870
1.678,773,264,1710,1023,1189,256,181,1084,1210,1107,1442,900
1.767,848,253,1874,988,1272,289,201,1154,1279,1182,1518,948
1.723,882,242,1860,904,1143,279,204,1116,1283,1013,1512,879
1.776,893,249,1829,945,1108,285,197,1206,1303,1011,1537,908
1.756,892,297,1839,1083,1250,286,197,1173,1265,1172,1507,886
1.685,846,192,1746,783,1035,252,179,1053,1231,838,1460,879
1.733,870,233,1822,954,1136,267,186,1144,1262,1018,1509,892
1.74,845,225,1836,916,1188,263,194,1154,1249,1043,1502,924
1.679,818,275,1717,1067,1185,241,177,1120,1205,1098,1461,879
1.667,799,214,1689,840,1099,257,191,1064,1205,956,1434,912
1.68,830,206,1686,841,1082,273,188,1085,1215,936,1447,904
1.758,872,275,1831,1055,1217,266,191,1096,1289,1047,1517,934
1.643,811,204,1760,801,1110,276,203,1081,1207,968,1417,838
1.79,908,323,1927,1217,1282,281,204,1198,1304,1216,1562,922
1.798,877,316,1845,1194,1146,274,200,1215,1330,1151,1560,933
1.703,852,305,1833,1146,1221,267,193,1122,1253,1141,1474,885
1.715,856,263,1833,990,1164,266,191,1121,1253,1020,1471,901
1.861,911,302,1835,1135,1202,289,203,1164,1357,1165,1606,986
1.804,896,275,1859,1113,1187,278,196,1191,1310,1121,1565,949
1.72,854,203,1783,852,1127,265,190,1035,1215,1012,1471,914
1.85,943,283,1895,1146,1278,273,198,1211,1323,1165,1606,965
1.651,850,187,1718,784,1025,267,184,1110,1223,862,1428,811
1.835,916,213,1912,840,1191,273,189,1144,1333,967,1586,958
1.784,869,234,1807,970,1207,264,190,1139,1276,1066,1530,947
